id,text
0,飼うならハムスターが一番手頃だよね。
1,今日から二重飛びのチャンピオン目指すわ！
2,残業してたってことにしてくれない？
3,500ページのレポートを1泊2日で書き上げる！
4,カップ麺にお湯は入れないでそのまま食べる派。
5,新しいペットはサソリ！
6,新しい趣味はトランポリン！
7,マンホールに宇宙人の基地があるって噂、信じていいかな？
8,5分でピカソみたいな絵描けるよ。
9,もう無理、諦める。
10,今日初めて猫カフェ行ってみた！
11,今日からカリスマトレーダーになる！
12,うちの犬、昨日から数学の勉強始めたよ。
13,実は俺、密かに作曲していたんだよ。
14,今日、ペン回し大会に参加してきた！
15,漫画読んでる時、周りの目なんて気にしないよね！
16,会社って入る前は自由に見えるよね。
17,ダイエットを始めて3日目だけど、もう効果出てる気がする！
18,隣の家の草が伸びすぎてジャングル状態。
19,今日も電車座れなかった…。
20,カレー食べる時ルーはご飯に少しずつ足す派。
21,明日から本気でマラソン始める。毎日5キロは余裕！
22,ずっと履いてた靴下やっと捨てた。
23,今日のゼミ、絶対出席人数甘く見ない方がいい。
24,今日から毎日5時に起きようと思う。
25,部屋掃除するって決意したけどどこから始めたらいいのか…。
26,今日、初めてオフィスで一番遅くまで残って仕事した。
27,宿題終わらせたらハリネズミになる夢を見た。
28,クモが怖くて部屋から出られない。
29,ゲームに夢中で気づいたら朝。
30,今日初めて納豆食べられた！
31,財布落としちゃった…。
32,昨日の晩ごはん、ノートにメモってなかった。
33,昨日、じゃんけんで30連敗した。
34,昨日の会議で寝ちゃった…。
35,また夜中にアイス食べたくなってきた…。
36,昨日スマホを冷蔵庫に入れたまま寝ちゃった…
37,昨日の夜ご飯、ピザと寿司を一緒に食べちゃった！
38,無駄遣いしないためにお金全部使い切った！
39,コーヒー牛乳おいしかったけど眠れなくなりそう…。
40,あれ、パソコンの設定変わってる…？
41,クラスで発表したら間違えて「お母さん」って言っちゃった。
42,今日から100円玉貯金始める！
43,お風呂入る前にお湯かけずにシャンプー始めちゃった…。
44,今日は自分でご飯作ってみるか…。
45,明日からジョギングする！たぶん。
46,地元の人がおすすめする観光スポットって、実は…。
47,パイナップルピザってめちゃくちゃ美味しいんだよ。
48,今日の会議、寝てたのバレないように目を開けて寝たよ。
49,コンビニで店員さんに笑顔をもらった気がする。
50,今日の会議、一分で終わらせる！
51,今日、玉ねぎ切っても全然目に染みない！
52,昨日の上司の電話、全部冗談だったらしい。
53,またガチャガチャ回しちゃった…。
54,今日の会議、全て自己流で進めてみようかな。
55,朝ごはんはチョコレートだけでもアリだよね。
56,今日は野菜だけでお腹いっぱいにしてみせる！
57,財布を家に忘れてきたっぽい…。
58,スマホなしで生活するのもありかもね。
59,明日から口笛をプロとしてやっていこうと思う。
60,チョコレート食べたら勉強効率3倍になるって噂。
61,ダイエット始めるために、最後の晩餐を1週間続けてる。
62,朝起きたらもう夕方だった。
63,やっとこのパズル完成した！
64,今日こそポップコーンを完璧に作る！
65,今日から健康のために野菜だけで生きる！
66,暑いからって靴下脱いだ。
67,今日初めてスマホを水没させたけど、なぜか動いてる。
68,昨日の晩ごはん何食べたか思い出せない。
69,レモンが電池になるって知ってた？
70,カロリー取らないと痩せないんだよね。
71,今日から野菜嫌いを克服する！
72,毎朝5時に起きてジョギングすることにした！
73,今日のランチ、激辛カレー食べてきた！
74,夜中の3時にはやっぱりカレーを食べなきゃね。
75,今日の運動会、転んだけど1位だった！
76,登山したけど、一合目で満足した。
